urn:miriam:kegg.compound:C00354; D-Fructose 1
urn:miriam:obo.chebi:CHEBI%3A16108; glycerone phosphate
urn:miriam:kegg.reaction:R00658; 2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)
http://identifiers.org/go/GO:0008584; male gonad development
urn:miriam:obo.chebi:CHEBI%3A17363; D-ribulose 5-phosphate
urn:miriam:kegg.compound:C00231; D-Xylulose 5-phosphate
urn:miriam:kegg.compound:C00199; D-Ribulose 5-phosphate
urn:miriam:kegg.compound:C00197; 3-Phospho-D-glycerate
urn:miriam:kegg.reaction:R01067; D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
http://identifiers.org/obo.go/GO:0005615; extracellular space
urn:miriam:obo.chebi:CHEBI%3A16001; 3-phospho-D-glyceroyl dihydrogen phosphate
urn:miriam:kegg.reaction:R00948; ATP:alpha-D-glucose-1-phosphate adenylyltransferase
urn:miriam:kegg.reaction:R01061; D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)
http://purl.obolibrary.org/obo/CHEBI_16761; ADP
http://identifiers.org/obo.go/GO:0031594; neuromuscular junction
urn:miriam:kegg.reaction:R00842; sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase
http://sig.uw.edu/fma#Articular_cartilage_of_head_of_first_rib; Articular cartilage of head of first rib
http://identifiers.org/uniprot/P62993; Growth factor receptor-bound protein 2
http://identifiers.org/uniprot/Q02750; Dual specificity mitogen-activated protein kinase kinase 1
http://identifiers.org/obo.go/GO:0005768; endosome
http://purl.obolibrary.org/obo/CHEBI_17306; maltose
urn:miriam:kegg.reaction:R01056; D-ribose-5-phosphate aldose-ketose-isomerase
http://identifiers.org/chebi/CHEBI:17990; 1-O-(indol-3-ylacetyl)-beta-D-glucose
urn:miriam:kegg.reaction:R01641; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase
http://bhi.washington.edu/OPB#OPB_00154; Fluid volume
http://identifiers.org/obo.go/GO:0031623; receptor internalization
urn:miriam:kegg.compound:C00022; Pyruvate
urn:miriam:kegg.reaction:R00345; phosphate:oxaloacetate carboxy-lyase (adding phosphatephosphoenolpyruvate-forming)
http://identifiers.org/obo.go/GO:0046777; protein autophosphorylation
urn:miriam:obo.go:GO%3A0005829; cytosol
urn:miriam:kegg.compound:C00279; D-Erythrose 4-phosphate
urn:miriam:obo.chebi:CHEBI%3A17835; 2-phospho-D-glyceric acid
http://identifiers.org/uniprot/P98077; SHC-transforming protein 2
http://identifiers.org/uniprot/P00533; Epidermal growth factor receptor
http://identifiers.org/obo.go/GO:0031387; MPF complex
urn:miriam:kegg.compound:C00117; D-Ribose 5-phosphate
http://bhi.washington.edu/OPB#OPB_00340; Chemical concentration
urn:miriam:obo.go:GO%3A0019683; glyceraldehyde-3-phosphate catabolic process
urn:miriam:kegg.compound:C00668; alpha-D-Glucose 6-phosphate
urn:miriam:kegg.compound:C00111; Glycerone phosphate
urn:miriam:kegg.reaction:R01049; ATP:D-ribose-5-phosphate diphosphotransferase
urn:miriam:obo.chebi:CHEBI%3A17797; D-ribose 5-phosphate
http://identifiers.org/uniprot/P28482; Mitogen-activated protein kinase 1
urn:miriam:obo.chebi:CHEBI%3A17794; 3-phospho-D-glyceric acid
http://identifiers.org/chebi/CHEBI:17234; glucose
http://identifiers.org/uniprot/P04049; RAF proto-oncogene serine/threonine-protein kinase
http://identifiers.org/ma/MA:0000696; tail bone
urn:miriam:kegg.compound:C00661; DL-Glyceraldehyde 3-phosphate
urn:miriam:kegg.compound:C00074; Phosphoenolpyruvate
http://identifiers.org/kegg.compound/C00562; Phosphoprotein
http://purl.obolibrary.org/obo/GO_0007252; I-kappaB phosphorylation
http://identifiers.org/cl/CL:0002068; Purkinje myocyte
urn:miriam:kegg.reaction:R01827; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase
urn:miriam:kegg.reaction:R01826; 2-carboxy-2-oxoethyl-forming)
urn:miriam:kegg.pathway:eco02060; Phosphotransferase system (PTS) - Escherichia coli K-12 MG1655
urn:miriam:obo.chebi:CHEBI%3A16332; D-xylulose 5-phosphate
urn:miriam:obo.chebi:CHEBI%3A15721; sedoheptulose 7-phosphate
http://identifiers.org/obo.go/GO:0030119; AP-type membrane coat adaptor complex
http://identifiers.org/cl/CL:0000746; cardiac muscle cell
urn:miriam:kegg.compound:C00103; D-Glucose 1-phosphate
urn:miriam:obo.chebi:CHEBI%3A17234; glucose
urn:miriam:obo.chebi:CHEBI%3A17138; glyceraldehyde 3-phosphate
urn:miriam:kegg.reaction:R01529; D-Ribulose-5-phosphate 3-epimerase
urn:miriam:kegg.reaction:R01528; 6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)
http://identifiers.org/obo.go/GO:0042166; acetylcholine binding
http://identifiers.org/go/GO:0007252; I-kappaB phosphorylation
urn:miriam:obo.go:GO%3A0009423; chorismate biosynthetic process
http://identifiers.org/obo.go/GO:0048408; epidermal growth factor binding
urn:miriam:obo.go:GO%3A0005576; extracellular region
urn:miriam:obo.go:GO%3A0046395; carboxylic acid catabolic process
